,occupation,gender,employee_new,year
7371,Professional and related occupations,Women,554000,2015
7372,Protective service occupations,Women,25000,2015
7373,"Service occupations, except protective",Women,383000,2015
7374,Sales and related occupations,Women,4673000,2015
7375,Office and administrative support occupations,Women,1503000,2015
7376,"Farming, fishing, and forestry occupations",Women,5000,2015
7377,Construction and extraction occupations,Women,2000,2015
7378,"Installation, maintenance, and repair occupations",Women,25000,2015
7379,Production occupations,Women,207000,2015
7380,Transportation and material moving occupations,Women,238000,2015
7381,"Management, business, and financial operations occupations",Women,243000,2015
7382,Professional and related occupations,Women,87000,2015
7383,Protective service occupations,Women,13000,2015
7384,"Service occupations, except protective",Women,47000,2015
7385,Sales and related occupations,Women,37000,2015
7386,Office and administrative support occupations,Women,795000,2015
7387,"Farming, fishing, and forestry occupations",Women,1000,2015
7388,Construction and extraction occupations,Women,3000,2015
7389,"Installation, maintenance, and repair occupations",Women,10000,2015
7390,Production occupations,Women,33000,2015
7391,Transportation and material moving occupations,Women,481000,2015
7392,"Management, business, and financial operations occupations",Women,259000,2015
7393,Professional and related occupations,Women,385000,2015
7394,Protective service occupations,Women,2000,2015
7395,"Service occupations, except protective",Women,37000,2015
7396,Sales and related occupations,Women,143000,2015
7397,Office and administrative support occupations,Women,301000,2015
7398,"Farming, fishing, and forestry occupations",Women,0,2015
7399,Construction and extraction occupations,Women,0,2015
7400,"Installation, maintenance, and repair occupations",Women,16000,2015
7401,Production occupations,Women,14000,2015
7402,Transportation and material moving occupations,Women,14000,2015
7403,"Management, business, and financial operations occupations",Women,1996000,2015
7404,Professional and related occupations,Women,356000,2015
7405,Protective service occupations,Women,26000,2015
7406,"Service occupations, except protective",Women,96000,2015
7407,Sales and related occupations,Women,1088000,2015
7408,Office and administrative support occupations,Women,1750000,2015
7409,"Farming, fishing, and forestry occupations",Women,0,2015
7410,Construction and extraction occupations,Women,3000,2015
7411,"Installation, maintenance, and repair occupations",Women,10000,2015
7412,Production occupations,Women,11000,2015
7413,Transportation and material moving occupations,Women,9000,2015
7414,"Management, business, and financial operations occupations",Women,1880000,2015
7415,Professional and related occupations,Women,1966000,2015
7416,Protective service occupations,Women,110000,2015
7417,"Service occupations, except protective",Women,972000,2015
7418,Sales and related occupations,Women,283000,2015
7419,Office and administrative support occupations,Women,1717000,2015
7420,"Farming, fishing, and forestry occupations",Women,5000,2015
7421,Construction and extraction occupations,Women,9000,2015
7422,"Installation, maintenance, and repair occupations",Women,15000,2015
7423,Production occupations,Women,101000,2015
7424,Transportation and material moving occupations,Women,93000,2015
7425,"Management, business, and financial operations occupations",Women,2188000,2015
7426,Professional and related occupations,Women,13682000,2015
7427,Protective service occupations,Women,64000,2015
7428,"Service occupations, except protective",Women,5646000,2015
7429,Sales and related occupations,Women,88000,2015
7430,Office and administrative support occupations,Women,3164000,2015
7431,"Farming, fishing, and forestry occupations",Women,1000,2015
7432,Construction and extraction occupations,Women,7000,2015
7433,"Installation, maintenance, and repair occupations",Women,16000,2015
7434,Production occupations,Women,100000,2015
7435,Transportation and material moving occupations,Women,168000,2015
7436,"Management, business, and financial operations occupations",Women,901000,2015
7437,Professional and related occupations,Women,402000,2015
7438,Protective service occupations,Women,56000,2015
7439,"Service occupations, except protective",Women,4359000,2015
7440,Sales and related occupations,Women,724000,2015
7441,Office and administrative support occupations,Women,501000,2015
7442,"Farming, fishing, and forestry occupations",Women,1000,2015
7443,Construction and extraction occupations,Women,1000,2015
7444,"Installation, maintenance, and repair occupations",Women,5000,2015
7445,Production occupations,Women,73000,2015
7446,Transportation and material moving occupations,Women,43000,2015
7447,"Management, business, and financial operations occupations",Women,366000,2015
7448,Professional and related occupations,Women,409000,2015
7449,Protective service occupations,Women,4000,2015
7450,"Service occupations, except protective",Women,2157000,2015
7451,Sales and related occupations,Women,97000,2015
7452,Office and administrative support occupations,Women,537000,2015
7453,"Farming, fishing, and forestry occupations",Women,1000,2015
7454,Construction and extraction occupations,Women,0,2015
7455,"Installation, maintenance, and repair occupations",Women,29000,2015
7456,Production occupations,Women,139000,2015
7457,Transportation and material moving occupations,Women,25000,2015
7458,"Management, business, and financial operations occupations",Women,362000,2015
7459,Professional and related occupations,Women,405000,2015
7460,Protective service occupations,Women,4000,2015
7461,"Service occupations, except protective",Women,1431000,2015
7462,Sales and related occupations,Women,97000,2015
7463,Office and administrative support occupations,Women,532000,2015
7464,"Farming, fishing, and forestry occupations",Women,1000,2015
7465,Construction and extraction occupations,Women,0,2015
7466,"Installation, maintenance, and repair occupations",Women,28000,2015
7467,Production occupations,Women,138000,2015
7468,Transportation and material moving occupations,Women,25000,2015
7469,"Management, business, and financial operations occupations",Women,4000,2015
7470,Professional and related occupations,Women,4000,2015
7471,Protective service occupations,Women,0,2015
7472,"Service occupations, except protective",Women,726000,2015
7473,Sales and related occupations,Women,0,2015
7474,Office and administrative support occupations,Women,4000,2015
7475,"Farming, fishing, and forestry occupations",Women,0,2015
7476,Construction and extraction occupations,Women,0,2015
7477,"Installation, maintenance, and repair occupations",Women,0,2015
7478,Production occupations,Women,1000,2015
7479,Transportation and material moving occupations,Women,0,2015
7480,"Management, business, and financial operations occupations",Women,689000,2015
7481,Professional and related occupations,Women,886000,2015
7482,Protective service occupations,Women,349000,2015
7483,"Service occupations, except protective",Women,200000,2015
7484,Sales and related occupations,Women,13000,2015
7485,Office and administrative support occupations,Women,957000,2015
7486,"Farming, fishing, and forestry occupations",Women,7000,2015
7487,Construction and extraction occupations,Women,6000,2015
7488,"Installation, maintenance, and repair occupations",Women,8000,2015
7489,Production occupations,Women,6000,2015
7490,Transportation and material moving occupations,Women,15000,2015
